Domain_Capacity,Project_Capacity,Project,Research_Coopreative,Project_Construction_Direction,Outcomes_Num,Project_Period,Investment_Funding,Project_Key_Point,Project_Plan,Project_Milestone,Project_Risk,Performance_Indicators,Project_Description,Project_Capacity_Description
火力打击体系,火力支援,先进通信技术,401所,珠海,研制报告 2 份；专利 20 篇,2年,350万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,预算超支；物资供应延迟；设计问题,芯片交换容量≥6.4Tbps;端口最大传输速率400Gb/s;,针对多模态网络软件定义互连芯片面向的数据中心、5G 承载网、高性能计算等典型应用场景，开展多模态网络互连交换芯片体系架构、模态隔离转发技术、状态可编程技术、模态加载和编译技术、软件定义报文技术等研究，突破软件定义数据链路层协议、软件定义报文线速处理、高负载下模态弹性无扰隔离技术、大规模状态表下的线速转发等关键技术难点，形成多模态高效芯片处理架构。,基于境内16nm或更先进工艺，完成多模态网络软件定义互连交换芯片研制
火力打击体系,火力支援,卫星定位系统,52所,珠海,提交国际国内标准技术提案3篇以上,2年,350万,需求评审；中期检查；项目验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,硬件设施供应；科研人才；,确定性平面转发时延≤2μs;支持≥1M流表容量;共享缓存64MByte,完成多模态网络软件定义互连交换芯片的设计，基于境内工艺，实现多模态网络软件定义互连交换芯片流片、封装及测试，为多模态网络系列化设备研制提供核心芯片，构建软件定义互连交换芯片演示验证系统。,基于境内16nm或更先进工艺，完成多模态网络软件定义互连交换芯片研制
火力打击体系,火力支援,火炮、远程导弹系统,自动化所,渤海,研制报告 2 份；专利 20 篇,2年,850万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,恶意竞争；项目架构变动；场地环境,业务管理带宽达到100Gbps以上；数据面请求的处理效率达到通用处理器10倍以上；未知漏洞和后门攻击的防御成功率达99%以上；,面向多模态网络技术发展，为满足多种网络模态共存对控制面多维动态管理、多样化处理策略及高安全防护的需求，基于控制面和数据面分离的多模态网络架构下，开展多模态网络高吞吐率控制面处理器架构、控制面处理器功能重构技术、分布式协同控制、控制面内生安全技术和编译技术等研究，突破芯片上弹性模态资源管理和动态微服务加载、安全传输协议、内生安全硬件设计、面向通用网络处理器编程范式的编译工具研制等关键技术难点，提出支持多模态动态管理的高吞吐率低延迟控制器芯片架构，完成支撑多模态网络的软件定义控制芯片设计并流片，研制完整集成开发工具链、应用软件库运行环境，实现面向多模态网络管理的控制设备原型样机和系统。,建立软件定义控制芯片的多模态可编程高吞吐率架构
火力打击体系,火力支援,实时情报共享系统,401所,东海,提交国际国内标准技术提案3篇以上,2年,800万,试运行和运营交接,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,市场需求变化；人力资源不足；建设流程,控制面支持多种可编程数据面流水线技术；支持分布式及层次化扩展；多种硬件架构下的控制面本地化部署；控制通道管理容量不少于1000台数据面设备；拓扑发现时间低于2s；线性拓扑端到端链路建立时间低于5s；单节点在10万pps的负载下；算网资源配置与使用效率提升30%,面向泛在化异构网络设备所组成物理网络中多种模态网络管控需求，开展基于多模态网络的控制调度系统总体架构、分布式/层次化控制与通信技术、面向异构设备的控制面本地化术、分布式控制面状态维护技术、多业务流多模态路由承载技术、跨模态资源协同管控与内生安全技术、算网一体的资源协同调度技术、控制面主备切换和容灾备份技术等研究，突破支持多种可编程数据面流水线技术的分布式控制面集群、算网资源协同与自动化模态隔离与加载、高可用可视化控制面维护等技术难点，形成多模态网络控制调度系统架构，开展多模态网络控制调度相关关键技术原理和原型系统的验证,完成基于多模态网络的控制调度系统总体架构的方案设计
火力打击体系,精确打击,先进的火控雷达,自动化所,南海,成面向园区/行业等场景的验证报告3份；申请发明专利10项；提交国内国际标准提案5篇,2年,700万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,市场需求变化；工期冲突；建设流程,设备内部支持不少于3种异构算力资源；支持面向不少于4种网络协议的存储计算转发异构资源协同调度；支持不少于6个100Gps接口；对计算请求进行任务分配的平均响应时延不超过5ms；路由隐私的平均处理时间不超过2ms；支持不少于2个10Gbps接口和10个千兆接口；在白盒注入测试条件下基于未知威胁差模攻击的平均抑制成功率不低于95%,应对信息网络发展成为人-机-物泛在互联关键基础设施和赋能平台的趋势，构建基于多模态网络环境的边缘网络，支持多模态协议混合接入，具备内生安全特性，突破基于异构语义标识的多模态协议混合路由寻址、隐私保护、按需组网等，支持网内计算增强，实现分布式算力与多模态网络环境的融合与协同；研究分布式算力感知与网络设备数据面卸载，研究基于多模态网络环境的网内计算分发和部署等，实现面向分布式计算的网络支撑；研究多模态边缘网络的安全访问控制，支撑多模态网络中信息物理融合安全接入、异构实体的内生安全互联互通。研发多模态边缘网络设备和系统，为面向园区/行业等垂直应用提供多元、高效、安全的边缘网络服务支撑。,应对信息网络发展成为人-机-物泛在互联关键基础设施和赋能平台的趋势，构建基于多模态网络环境的边缘网络
火力打击体系,精确打击,卫星导航系统,401所,东海,提交一份多模态网络节点技术研究报告；提交标准草案大于3份；申请专利或软件著作权大于15项,3年,800万,立项和需求确认,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,恶意竞争；项目架构变动；验收流程,研制开发多模态网络智慧支撑环境节点机3台；开展大于6种模态网络同时并发运行的试验验证工作；中主流技术体制的模态网络大于3种；,面向多模态网络智慧支撑环境，遵循“应用、业务、技术体制、智慧支撑环境”的四层架构，以面向计算的技术路线为主线开展多模态网络节点关键技术研究，开发多模态网络节点试验验证平台并对关键技术研究成果进行验证，为多模态网络超大规模专用核心芯片的开发奠定坚实的技术实践基础。,完成多模态网络智慧支撑环境节点技术实现方案
火力打击体系,精确打击,高精度制导弹药,软件所,东海,提交一份多模态网络节点技术研究报告；申请专利或软件著作权大于15项,3年,600万,项目验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,恶意竞争；项目架构变动；验收流程,多模态网络智慧支撑环境节点机端口速率支持40/100/400Gbps；交换容量不少于4T；存储容10TB；节点协处理机端口速率支持10/40Gbps,重点突破多模态智慧支撑环境网络节点的系统架构、流数据驱动、计算模型、资源构建、互联方式、控制逻辑、片上操作系统和可编程模式等方面的关键技术，实现多模态网络在智慧支撑环境节点中，共生共存、区分服务、内生安全兼并的透明转移生态。,完成多模态网络智慧支撑环境节点技术实现方案
火力打击体系,精确打击,精确测距设备,空天信息所,东海,形成一整套完善的多模态网络编程方案；申请发明专利不少于10项,3年,950万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,物价波动；人力资源不足；场地环境,支持不少于转发、计算、存储、安全等4种操作；支持面向不少于3种硬件资源的一体化编译；支持不少于5种策略的内生安全特性；支持主动和被动等2种感知方式；支持不少于5种业务场景的资源优化配置和模态动态部署；构建不少于10个节点的实网多模态网络环境,研究建立模态无关的多模态网络环境编程模型，抽象网络模态的共性需求和能力特征，形成基于通用表达的网络模态编程语法，支持覆盖存储、计算、转发、安全等可定义的模态编程；研制平台无关的多模态网络前端编译系统，支持网络模态的安全编程和形式化验证，协同调度异构的可编程资源实现网络模态的自动化编译与生成，具备内生安全特性；研制面向多样化平台的设备级后端编译系统支持依据应用需求实现多种模态在设备中的并发运行；研究应用驱动的网络模态智能承载技术，支持基于网络状态感知的资源编排，实现网络模态与基础环境间的优化匹配与调度；构建支持网络模态动态、并行部署的实网多模态网络环境，支持面向模态需求定制的环境资源组合和模态重构，为网络模态在多模态网络环境中的快速部署和应用提供支撑。,形成一整套完善的多模态网络编程方案
火力打击体系,精确打击,实时目标识别技术,信工所,珠海,申请发明专利不少于15项；提交国际国内标准技术提案10篇,2年,850万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,物价波动；物资供应延迟；建设流程,对比普通虚拟化实时性能提升10倍（虚拟化层时延<20μs）；实现运行损耗降低90%；完成不少于3种接入制式网络仿真；在预调度情况下用户面空口时延<5ms；异系统业务中断时间<30ms,1）探索模态移动网络体系架构与核心机理，构建减少处理时延提升网络可靠性的新型模态网络架构，突破传统移动互联网中架构时延、节点时延、可靠性、移动性、可扩展性、多样化等关键瓶颈。2）研究低时延、低运行损耗、高可靠的自主可控网络虚拟化操作系统，支持裸金属、虚机及容器多种硬件平台的运行能力，在开放的模态运行环境中克服引入网络虚拟化后时延、资源开销增加等挑战。3）研究面向泛在接入多模态网络的普适协同机制和分布式自治移动性管理机制，支持 MEC 应用的移动性管理，确保面向全场景无处不在的服务可用性，提升网络可靠性。4）研究新型模态网络架构下，面向时延和可靠性敏感业务需求的业务链SLA保障机理，基于排队博弈、多目标优化等理论，协同优化业务链时延加权与资源效率，研究带宽保障分配方法和编排调度机制，研究适配业务需求的流量整形技术，研究基于网络拥塞感知的流量控制技术。5）开展面向时延和可靠性敏感业务需求的模态移动网络关键技术原型验证。,形成超低时延、超高可靠、普适业务移动性的新型模态移动互联网络架构方案，显著简化网络架构层级、结合SRv6简化移动性管理、简化 MEC 业务连续性机理，显著降低链路和节点时延，降低部署成本，提升网络可靠性；
火力打击体系,火力密集,集群弹药,中电科,南海,申请技术发明专利不少于10项，提交标准草案不少于3项,2年,500万,质量检验和验收,立项和需求确认：4周；可行性研究和技术评估：12周；方案设计和策划：24周；设计评审和批准：4周；采购和物资准备：36周；施工和实施：72周；进度管控和现场管理：72周；质量检验和验收：12周；系统集成和联调：16周；试运行和运营交接：16周；项目收尾和后评估：8周,立项和需求确认；可行性研究和技术评估；方案设计和策划；设计评审和批准；采购和物资准备；施工和实施；进度管控和现场管理；质量检验和验收；系统集成和联调；试运行和运营交接；项目收尾和后评估,物价波动；技术壁垒；工人技术能力,开展不少于五十万级用户测试；弱网场景下卡顿率降低不少于20%；尾时延降低不少于50%；清晰度提升不少于10%；网络拥塞的感知速度提升至少0.5个RTT,面向视频会议、虚拟现实和工业互联网等多模态网络应用对高质量低时延的传送需求，针对网络异构时变不可控和应用需求多维高差异的特点，开展新型低时延传送协议研究，包括端到端新型时敏传送协议与流控、端网协同新型低时延拥塞控制、异构网络资源协同智能传送。下述研究内容可选择 1 项或多项进行研究：1）基于面向连接 TCP的新型低时延传送协议；2）基于无连接 UDP 的新型低时延传送协议；3）新型网络多路径智能联合传送协议。,开发新型端到端传送协议与拥塞控制系统；研究基于TCP/UDP的新型低时延传送协议，设计端到端新型时敏传送协议与流控机制
